# # masses,tags,x,y,z,vx,vy,vz,ax,ay,az
1.000000000000000056e-01,0.000000000000000000e+00,-1.311422302652584804e-01,9.984310482534561881e-01,2.717855008736172806e+00,1.087736560049523127e-01,1.110954077733937867e-01,1.425966945768158523e+00,1.546048911703166717e-01,-4.395378128911333615e-01,-1.007612377902974199e+00
1.000000000000000056e-01,1.000000000000000000e+00,-8.373347298942542816e-01,-5.277505918040210631e-01,8.875884675581097172e-01,3.945278090614577904e-01,5.691338675287569426e-01,-5.987605766266010932e-01,1.528923816311270834e+00,9.484180573020567495e-01,-8.488087430327196925e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.665308842377382081e+00,-1.517534208910742199e+00,-2.184808497648769166e+00,1.474136787583707697e+00,-1.149188281303742398e+00,-4.305661755092479726e-01,4.742280546640201266e-01,3.377981831683570801e-01,6.494500730087995333e-01
1.000000000000000056e-01,3.000000000000000000e+00,4.874697836136502871e-01,-2.505395142636592798e-01,4.041253531112363184e-01,3.447580587540698821e-02,2.899119710476626421e-01,-1.763824552457000427e+00,-8.444877743274776805e-01,3.169020960206572646e+00,-1.033156331004354778e+00
1.000000000000000056e-01,4.000000000000000000e+00,1.482354585766583410e+00,3.719322108797079585e-01,5.995989314280400495e-02,3.903601486346582883e-01,1.643279517101077225e+00,1.519889462065425967e+00,-1.947418178987449400e+00,-1.657348071124014277e+00,8.686431873463033027e-01
1.000000000000000056e-01,5.000000000000000000e+00,-2.597658478239147417e+00,-4.075739471974107464e-01,-8.143102266591030203e-01,-1.321479998603308226e-01,1.489019878686802745e+00,-8.160901743199890923e-01,9.105489943497251382e-01,2.372753461498701977e-01,2.773522236935245244e-01
1.000000000000000056e-01,6.000000000000000000e+00,-1.033560833404976842e+00,1.132144997985007118e+00,1.308568085542015424e+00,-2.019821729699585511e+00,-6.065518660323656608e-01,8.915443474749127351e-01,9.738012949451414491e-01,-9.236102732265061288e-01,-7.655356155065046186e-01
1.000000000000000056e-01,7.000000000000000000e+00,-1.555550147156320451e-01,-5.055790460393057018e-01,1.670194745404950387e+00,1.462283777512435670e-02,5.592152978176082589e-01,8.651523261750437843e-01,8.541937351100904463e-01,1.138265099896095922e+00,-2.165245738982468193e+00
1.000000000000000056e-01,8.000000000000000000e+00,8.669915032855948223e-01,1.091792491900522410e+00,-7.093057134204586722e-01,-3.958711286710374644e-01,-1.099800087754092326e+00,-2.659737096387810862e-01,-8.949879653801988688e-01,-1.117882472162123220e+00,1.599795707488170571e+00
1.000000000000000056e-01,9.000000000000000000e+00,-1.534285202623287159e+00,3.573505927402097909e-02,-1.279075583315506526e+00,-8.835013147074619599e-01,-3.572385009032436609e-01,-7.496975410338192480e-01,1.417712474421943591e+00,-2.688529189416182796e-01,8.300622267631266871e-01
