# # masses,tags,x,y,z,vx,vy,vz,ax,ay,az
1.000000000000000056e-01,0.000000000000000000e+00,-1.496491267873406861e-01,9.662622992659405385e-01,2.410228501561101577e+00,7.772589867808847586e-02,2.095286169045703639e-01,1.646459826399290005e+00,1.596828120983568855e-01,-5.575907257341672363e-01,-1.227011808386085923e+00
1.000000000000000056e-01,1.000000000000000000e+00,-8.840856984074946245e-01,-6.207513799863597637e-01,9.891060054753949560e-01,8.656686892206008621e-02,3.680331453420263021e-01,-4.228451642319370762e-01,1.579441362100125978e+00,1.039486763331938235e+00,-9.231018109455521037e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.949522296467543159e+00,-1.280179884196323448e+00,-2.085695882452191174e+00,1.370482424423782541e+00,-1.221636199506942466e+00,-5.527032634104206421e-01,5.579326350129854006e-01,3.630661710567748557e-01,5.951476506194685046e-01
1.000000000000000056e-01,3.000000000000000000e+00,4.952532283695782467e-01,-2.534094184940527406e-01,6.667059873248802893e-01,3.691415345144602456e-01,2.401274919531143706e-02,-8.041932343980533471e-01,-5.912479246342805972e+00,-4.612385725951579918e-01,-3.937505533212700137e-01
1.000000000000000056e-01,4.000000000000000000e+00,1.363678129988812548e+00,1.499310997874019058e-02,-2.097904564252253135e-01,7.521278210342543513e-01,1.873853405121851612e+00,1.116806597384201183e+00,-1.425874493086631833e+00,-9.062219777271401933e-02,2.979103003894289614e+00
1.000000000000000056e-01,5.000000000000000000e+00,-2.551809750188327897e+00,-7.001909733893941779e-01,-6.455393241637590318e-01,-3.190099845450855565e-01,1.438770485019861267e+00,-8.676646095249304080e-01,9.762575397942306887e-01,2.632891899368990929e-01,2.352235187736018973e-01
1.000000000000000056e-01,6.000000000000000000e+00,-6.090752395602262448e-01,1.231062486608614392e+00,1.113897345079468915e+00,-2.214921955911119511e+00,-3.791376222413470609e-01,1.047614772200148758e+00,9.632380055816194275e-01,-1.368805781522139497e+00,-7.738832223583671510e-01
1.000000000000000056e-01,7.000000000000000000e+00,-1.435074305120820348e-01,-5.889941261742355216e-01,1.456174918745912539e+00,-1.149752703201706167e-01,2.880395677233523188e-01,1.238566480862798524e+00,5.057378706055845052e-01,1.277841595759439786e+00,-1.798178086696212929e+00
1.000000000000000056e-01,8.000000000000000000e+00,9.281484125486575421e-01,1.288194594152797245e+00,-6.224306004956873251e-01,-2.285537167187979835e-01,-8.718216577996931171e-01,-5.867577637727087181e-01,-7.727835741855734186e-01,-1.244823885067287694e+00,1.590670841948611525e+00
1.000000000000000056e-01,9.000000000000000000e+00,-1.327540933936351975e+00,9.909166746522794778e-02,-1.112931489190139178e+00,-1.167461611958384049e+00,-2.675763566092231871e-01,-8.996665077149207379e-01,1.332574216100851805e+00,-6.805500750852609970e-01,6.957776701579995171e-01
