# # masses,tags,x,y,z,vx,vy,vz,ax,ay,az
1.000000000000000056e-01,2.500000000000000000e+01,8.388457466478687063e-01,6.512230131635649011e-01,-1.097385938832978081e+00,6.216178593811853004e-01,1.563031732284924979e+00,-2.891903557555591808e-01,-6.154200574286554648e-01,-4.444550947467481028e-01,1.857136598533383420e+00
1.000000000000000056e-01,2.600000000000000000e+01,-6.242401132952209997e-01,2.063308829634759867e-01,-1.465691856464016674e+00,8.167998961203469799e-01,4.003940584619040122e-01,4.331593722289056037e-01,4.270013748726117497e-01,-4.612228650011679365e-01,1.017906533968195637e+00
1.000000000000000056e-01,2.700000000000000000e+01,4.331885076862968531e-01,5.451939121060427329e-01,6.869837263548341788e-01,-1.226878882337162496e-01,-3.040632730138469464e-01,1.129635148035989189e+00,8.400924594680105884e-01,-3.287539443486263924e+00,-1.262757182057593575e+00
1.000000000000000056e-01,2.800000000000000000e+01,-2.901711970015556918e+00,6.297225816275219268e-01,-7.392827312169545362e-01,-7.394644458081651717e-01,6.831930411367864719e-01,-1.275021918423779654e+00,8.597586242719333915e-01,-3.331875501069806456e-01,1.633347833063681920e-01
1.000000000000000056e-01,2.900000000000000000e+01,-4.191953396727109427e-01,1.700445429633966610e+00,-1.620371977982578482e+00,-1.306132609829883329e+00,7.360408375269497094e-01,1.189472410572337768e+00,2.730201852871700918e-01,-8.474746285992603712e-01,8.595568684277881122e-01
1.000000000000000056e-01,3.000000000000000000e+01,6.117961654391025350e-01,1.400866440078217590e+00,9.331056431966179288e-01,5.220429628637635044e-02,-1.957901696424400040e-01,1.920033852331783697e+00,-2.216344312845176523e-01,-2.039281255860907915e+00,-7.660588509178352101e-01
1.000000000000000056e-01,3.100000000000000000e+01,3.051908211488323364e-01,1.594202094891039867e-01,3.926823860194145754e-01,5.633766299289435509e-01,1.364825203205824344e+00,-5.190651319790600127e-01,1.367291099758122463e+00,-1.987699180818726763e+00,-1.300348982038292744e+00
1.000000000000000056e-01,3.200000000000000000e+01,1.219154897760007517e+00,7.439721890122406034e-01,1.545083808540656412e+00,8.242417049254687766e-01,-1.000151701211203115e+00,-2.751866759148985930e-01,-1.198368391847585368e+00,-8.555227782596037667e-01,-1.580302410651679423e+00
1.000000000000000056e-01,3.300000000000000000e+01,-1.234762171005072018e+00,1.077009347266577599e+00,-1.652306848293892072e+00,4.685548240862368319e-01,5.893008436568980546e-01,1.731343670799693757e-01,6.820216763847682939e-01,-5.349874023595043715e-01,6.945010881795949942e-01
1.000000000000000056e-01,3.400000000000000000e+01,1.044067210226038211e+00,-7.966147098329872112e-01,2.032412856747390362e-01,-1.624901531069389282e+00,3.352155788489062926e-01,6.231923875530752666e-01,-1.650733151616683658e+00,1.709444214757894320e+00,3.781190606718336511e-01
1.000000000000000056e-01,3.500000000000000000e+01,8.657839155715969515e-01,5.247865558735435032e-01,3.916259333186429825e-01,5.830316743971269977e-01,5.452390844246343127e-01,8.941397788060563290e-01,-2.619782225252976104e+00,-1.889849579970859450e+00,-7.902158160848297974e-02
